iter	RMSE
0	96.39569532
1	94.0834898
2	92.31684186
3	90.13882753
4	87.82450023
5	86.04843339
6	84.1962766
7	82.29264338
8	80.47448769
9	78.89796569
10	77.02964942
11	75.4644076
12	73.89723051
13	72.17185005
14	70.6373146
15	69.24874521
16	67.85070794
17	66.45864486
18	65.34440253
19	63.89962773
20	62.67290587
21	61.13419687
22	59.83829524
23	58.68988546
24	57.60012238
25	56.41034439
26	55.63783276
27	54.64392369
28	53.70583588
29	52.78225221
30	51.76080099
31	50.7224602
32	49.57750671
33	48.57664313
34	47.6778681
35	46.87318557
36	46.03176902
37	45.31775986
38	44.49507205
39	43.70272618
40	43.06465208
41	42.25309853
42	41.64807768
43	40.79772975
44	40.22587256
45	39.61707533
46	38.8489187
47	38.15451863
48	37.6016894
49	37.15568178
50	36.47307271
51	36.00522177
52	35.39984761
53	34.91069049
54	34.40900292
55	33.86968783
56	33.38505821
57	32.88333979
58	32.41957152
59	31.90191278
60	31.45620133
61	31.03446476
62	30.63015378
63	30.19608245
64	29.8068245
65	29.43832073
66	29.01338389
67	28.64530036
68	28.26772255
69	27.88605368
70	27.50599236
71	27.18203676
72	26.85365366
73	26.50765399
74	26.27106903
75	25.92488712
76	25.74385738
77	25.50577984
78	25.2598489
79	25.01608659
80	24.79627933
81	24.53251232
82	24.33898677
83	24.09480621
84	23.83689311
85	23.6402309
86	23.39384053
87	23.27692137
88	23.07690706
89	22.85337474
90	22.68454471
91	22.4782342
92	22.3122284
93	22.15594091
94	22.00712173
95	21.75156475
96	21.50770757
97	21.27872139
98	21.06637978
99	20.96534181
100	20.78643064
101	20.62377709
102	20.46568945
103	20.34000327
104	20.16226057
105	20.02460302
106	19.88472374
107	19.70760856
108	19.57899815
109	19.47805939
110	19.36325504
111	19.24319887
112	19.09040409
113	18.97460125
114	18.85006398
115	18.72807093
116	18.6432134
117	18.56305427
118	18.42902237
119	18.31057619
120	18.20188251
121	18.13229598
122	18.03403033
123	17.91452785
124	17.84147405
125	17.7585276
126	17.66937288
127	17.58954617
128	17.51660033
129	17.45284877
130	17.36009902
131	17.28837023
132	17.23598395
133	17.1807637
134	17.10142134
135	17.02337211
