iter	RMSE
0	2894.120304
1	2765.526077
2	2637.833067
3	2519.381406
4	2411.34954
5	2307.612143
6	2207.959827
7	2119.886449
8	2038.531158
9	1946.561756
10	1870.232708
11	1803.01903
12	1733.073444
13	1668.735742
14	1607.881838
15	1557.071899
16	1509.898033
17	1467.167695
18	1414.004377
19	1374.293554
20	1328.280593
21	1284.821832
22	1249.581004
23	1217.063642
24	1186.5071
25	1160.312802
26	1132.609561
27	1102.790127
28	1080.489091
29	1061.289979
30	1041.818433
31	1019.367021
32	998.5348266
33	984.7892322
34	967.3143471
35	951.4141336
36	939.0794181
37	924.318809
38	909.8551
39	898.3198048
40	891.0154856
41	877.2288647
42	869.1784345
43	861.5231463
44	852.2848572
45	842.8937506
46	833.5774173
47	827.1116151
48	821.435472
49	809.837018
50	800.1491648
51	791.2315259
52	784.615145
53	775.7017728
54	771.8034163
55	761.8519161
56	755.2576919
57	751.2287414
58	746.3663661
59	744.5362966
60	735.8131199
61	731.481339
62	723.7631495
63	717.3435666
64	708.4323817
65	701.4917177
66	695.6112302
67	686.5752089
68	681.0122976
69	677.8724605
70	674.3990177
71	670.4034065
72	666.6621611
73	661.1011937
74	656.8424783
75	654.6902322
76	652.4753407
77	646.7692452
78	643.1065871
79	640.4305396
80	637.6237214
81	634.8297255
82	628.5933362
83	625.2795408
84	621.677505
85	619.9445043
86	614.6032188
87	612.1676038
88	610.0306809
89	607.4561558
90	602.9590787
91	599.9904183
92	596.9178216
93	594.5172016
94	591.9481674
95	590.7746665
96	590.2637321
97	588.2039933
98	584.4463664
99	581.2120992
100	578.7476805
101	574.9336416
102	572.3906323
103	568.0438249
104	565.8249827
105	563.6604346
106	562.2017904
107	560.6333162
108	556.1744315
109	554.36753
110	551.8709234
111	549.9270798
112	548.8412495
113	547.0292708
114	543.2830851
115	541.7939771
116	540.2464988
117	537.3284685
118	536.0332039
119	534.616441
120	533.0663232
121	530.9324425
122	529.6254048
123	526.0625571
124	523.6821459
125	521.6848201
126	518.03137
127	513.504035
128	511.820537
129	510.4090186
130	506.0736192
131	504.6253153
132	501.3328415
133	497.9230311
134	496.5703512
135	495.2807086
136	492.9814273
137	489.9476443
138	488.4710951
139	485.9538918
140	483.5249874
141	482.4124431
142	480.4342646
143	478.4366943
144	477.0520296
145	476.1181633
146	474.3187925
147	472.6753866
148	469.6288259
149	468.3194861
150	465.7832304
151	463.3652209
152	462.2686066
153	459.9753782
154	457.6471739
155	456.7633152
156	455.1625676
157	453.0385804
158	451.7933624
159	450.9294492
160	449.9622556
161	449.0764594
162	447.1009932
163	445.2764311
164	443.2169125
165	441.4112309
166	439.7896596
